monthYear,sprint,team,committed,completed,urgentdefects,alldefects,storiesadded,pointsadded,failedtoquantify,sprintComments
,85,onCampus,84,59,0,0,0,0,0,
"April2015",86,onCampus,65,58,0,0,0,0,0,
,87,onCampus,82,49,0,0,0,0,0,
"May2015",88,onCampus,49,50,0,0,0,0,0,
,89,onCampus,61,35,0,0,0,0,0,
"June2015",90,onCampus,92,50,0,0,0,0,0,
,91,onCampus,66,51,0,0,0,0,0,
"July2015",92,onCampus,66,5,0,0,0,0,0,
,93,onCampus,67,37,0,0,0,0,0,
"August2015",94,onCampus,73,48,0,0,0,0,0,
,95,onCampus,84,72,0,0,0,0,0,
"September2015",96,onCampus,58,76,0,0,0,0,0,
,97,onCampus,40,35,0,0,0,0,0,
,98,onCampus,53,26,0,0,0,0,0,
"October2015",99,onCampus,36,19,0,0,0,0,0,
,100,onCampus,65,35,0,0,0,0,0,
"November2015",101,onCampus,58,38,0,0,0,0,0,
,102,onCampus,46,46,0,0,0,0,0,
"December2015",103,onCampus,14,14,0,0,0,0,0,
,104,onCampus,61,58,0,0,0,0,0,
"January2016",105,onCampus,49,41,0,0,0,0,0,
,106,onCampus,67,70,0,0,2,2,0,
,107,onCampus,71,42,0,0,3,3,0,
"February2016",108,onCampus,62,70,0,0,0,0,0,
,109,onCampus,77,67,0,0,1,1,0,
"March2016",110,onCampus,73,71,0,0,1,2,0,
,111,onCampus,74,20,0,0,1,1,0,
"April2016",112,onCampus,50,68,0,0,11,11,0,
,113,onCampus,79,42,3,50,0,0,0,
"May2016",114,onCampus,60,61,10,40,0,0,0,
,115,onCampus,68,34,2,4,0,0,0,
"June2016",116,onCampus,52,44,3,5,1,1,0,"3 stories pulled in, hindered progress."
,117,onCampus,60,24,0,0,2,5,0,fakedata1
"July2016",118,onCampus,70,20,1,4,1,0,0,fakedata2
,85,onMessage,107,126,0,0,0,0,0,
"April2015",86,onMessage,102,95,0,0,0,0,0,
,87,onMessage,107,108,0,0,0,0,0,
"May2015",88,onMessage,80,72,0,0,0,0,0,
,89,onMessage,78,76,0,0,0,0,0,
"June2015",90,onMessage,83,91,0,0,0,0,0,
,91,onMessage,102,41,0,0,0,0,0,
"July2015",92,onMessage,103,43,0,0,0,0,0,
,93,onMessage,96,53,0,0,0,0,0,
